PassageID,StreamName,TributaryTo,PassageName,PassageType,PassageStatus,Protocol,AssessedBy,County,WatershedHUC4,Point_X,Point_Y,BegFt,SiteComments
27859,South Fork Mokelumne River,Mokelumne River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,Upper Mokelumne,-121.5339166,38.11982941,35426,SAME SITE AS D022316I; DELTA RESURVEY FEB2005
27861,San Joaquin River,Suisun Bay,MEDFORD ISLAND,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.505727,38.039643,2680,Delta Resurvey Feb2005
27858,Little Potato Slough,South Mokelumne River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,Upper Mokelumne,-121.501118,38.109085,29151,
3897,Sanborn Slough,Butte Creek,JOHN M. SIMMONS,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.893246,39.352943,1943,
3900,Angel Slough,Butte Creek,Foraker Northern Pumping Plant,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.904183,39.361831,3525,
3901,Angel Slough,Butte Creek,Foraker Northern Pumping Plant,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.904197,39.361831,3521,
3898,Angel Slough,Butte Creek,Eric Foraker 5-HP Pump,Diversion (screened/unscreened),Screened,Professional Judgement,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.900323,39.349054,4859,"Screened in 2006; funded by CDFW ERP and USFWS, and implemented by Ducks Unlimited. Surveyed by CDFW on 9/21/1998 and identified as unscreened."
3899,Angel Slough,Butte Creek,Eric Foraker Southeast Pump,Diversion (screened/unscreened),Screened,Professional Judgement,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.900891,39.349332,4950,"Screened in 2006; funded by CDFW ERP and USFWS, and implemented by Ducks Unlimited. Surveyed by CDFW on 9/21/1998 and identified as unscreened."
3888,Butte Creek,Sacramento River,El Anzar centrifugal pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9415413,39.25933333,29172,"CDFW 1998 survey: 1 centrifugal pump located on the left bank. Intake size is 12 inches, water is discharged to earth ditch. not in use old rusty "
3889,Butte Creek,Sacramento River,Bean Field Usfws vertical pump,Diversion (screened/unscreened),Screened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9468193,39.23933378,21174,"CDFW 1998 survey: 1 vertical pump with horsepower of 25 located on the left bank. Intake size is 16 inches, water is discharged to earth ditch and operates for fish and wildlife enhancement purposes."
27842,Bear River,Feather River,Slant Pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Yuba,Upper Bear,-121.5722496,38.94021541,2145,
3890,Cherokee Canal,Butte Creek,Field And Tule Weir,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.906689,39.288777,0,"36"" culvert unscreened diversion"
3877,Sanborn Slough,Cherokee Canal,Wildgoose End Weir,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.882606,39.325721,13939,
3878,Sanborn Slough,Cherokee Canal,Wildgoose End Weir,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.882684,39.325721,13929,
3884,Butte Creek,Sacramento River,Rd 833 culvert,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9296655,39.2215566,12474,"CDFW 1998 survey: culvert located on the left bank. Intake size is 36 inches, water is discharged to earth canal and operates for agricultural purposes. culvert below colusa shooting club weir; next to u081517b "
3885,Butte Creek,Sacramento River,Rd 833 flashboard,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9302788,39.2215566,12474,"CDFW 1998 survey: flashboard located on the left bank. Intake size is 36 inches, water is discharged to earth canal and operates for agricultural purposes. below colusa shooting club; next to u081517c "
3882,Butte Creek,Sacramento River,Colusa Shooting Club vertical pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9456726,39.23794495,20510,"CDFW 1998 survey: 1 vertical pump with horsepower of 30 located on the left bank. Intake size is 16 inches, water is discharged to earth ditch and operates for fish and wildlife enhancement purposes. Diverts up to 7.6 cfs. contact bob cline 441-4844. "
3883,Butte Creek,Sacramento River,Colusa Shooting Club Weir floodgate,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9301655,39.22183436,12474,"CDFW 1998 survey: floodgate located on the both bank. Intake size is 48 inches, water is discharged to earth canal and operates for fish and wildlife enhancement purposes. outfall attraction "
27888,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.530316,38.05742,118572,
27889,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.530153,38.057976,118558,
27886,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.530674,38.057142,118578,
27887,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.530663,38.057142,118578,
3875,Sanborn Slough,Cherokee Canal,Wildgoose End Weir,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.882501,39.325999,13941,
3876,Sanborn Slough,Cherokee Canal,Wildgoose End Weir,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.882604,39.325721,13936,
27880,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.507437,38.053254,125355,USED FOR SHOP & KENNELS; SAME SITE AS D030817B
27881,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.507522,38.053254,125370,
27878,Columbia Cut,Middle River,Mcdonald Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.508117,38.024088,11000,DELTA RESURVEY FEB2005; NEXT TO D022416J
27879,Little Connection Slough,San Joaquin River,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.501644,38.060198,6196,
27884,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.530136,38.056309,118679,
27885,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.530536,38.056587,118595,
27882,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.529988,38.056309,118713,
27883,San Joaquin River,Suisun Bay,"Venice Island, Hilton",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.530119,38.056309,118687,
27877,Columbia Cut,Middle River,Mcdonald Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.508202,38.024088,10988,DELTA RESURVEY FEB2005; NEXT TO D022416A
27875,Middle River,San Joaquin River,Mcdonald Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.508764,38.0077,22050,Delta Resurvey Feb2005
3904,Angel Slough,Butte Creek,Eric Foraker Southwest Pump,Diversion (screened/unscreened),Screened,Professional Judgement,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.906591,39.346276,4261,"Screened in 2006; funded by CDFW ERP and USFWS, and implemented by Ducks Unlimited. Surveyed by CDFW on 9/22/1998 and identified as unscreened."
3902,Angel Slough,Butte Creek,FLAP/SCREW GATE,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.90178,39.353776,546,
3903,Angel Slough,Butte Creek,Eric Foraker Southwest Pump,Diversion (screened/unscreened),Screened,Professional Judgement,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.906768,39.346554,4261,"Screened in 2006; funded by CDFW ERP and USFWS, and implemented by Ducks Unlimited. Surveyed by CDFW on 9/22/1998 and identified as unscreened."
3909,Mallard Slough,Butte Creek,White Mallard Duck Club/White Mallard Pump,Diversion (screened/unscreened),Screened,Professional Judgement,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.911995,39.330165,1921,"Diversion screened by CVPIA in 2006, funded by CDFW ERP and implemented by Ducks Unlimited. Surveyed by CDFW FSFPP on 9/22/1998 and identified as unscreened."
3907,Mallard Slough,Butte Creek,White Mallard Diversion,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.90391,39.330165,229,
3944,Butte Creek,Sacramento River,centrifugal pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9296767,39.20266825,4723,"CDFW 1998 survey: 1 centrifugal pump with horsepower of 60 located on the left bank. Intake size is 9 inches, water is discharged to underground and operates for agricultural and fish and wildlife enhancement purposes."
3945,Butte Creek,Sacramento River,vertical pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9296166,39.19711285,2608,"CDFW 1998 survey: 1 vertical pump with horsepower of 40 located on the left bank. Intake size is 13 inches, water is discharged to concrete distribution box and operates for agricultural purposes."
3942,Butte Creek,Sacramento River,Colusa Shooting Club submersible pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.945641,39.23794495,20524,"CDFW 1998 survey: 1 submersible pump located on the left bank. Intake size is 30 inches, water is discharged to earth ditch and operates for agricultural and fish and wildlife enhancement purposes. Diverts up to 3.5 cfs. next to vert. pump u0815 "
3943,Butte Creek,Sacramento River,Rd 833 vertical pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.9401723,39.22794527,16475,"CDFW 1998 survey: 1 vertical pump with horsepower of 20 located on the left bank. Intake size is 16 inches, water is discharged to earth ditch and operates for agricultural and fish and wildlife enhancement purposes. Diverts up to 8.1 cfs."
3946,Butte Creek,Sacramento River,Rancho Caleta #2 vertical pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.9358416,39.195724,783,"CDFW 1998 survey: 1 vertical pump with horsepower of 40 located on the right bank. Intake size is 18 inches, water is discharged to vertical concrete pipe and operates for agricultural purposes. Diverts up to 8 cfs. additional pipe for pump not gpsed, same size; look at pic metal trashrack 4"" spacing "
3947,Butte Creek,Sacramento River,Butte Creek Farms #3 vertical pump,Diversion (screened/unscreened),Screened,Field Survey,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.9481376,39.23988932,21528,"CDFW 1998 survey: 1 vertical pump with horsepower of 25 located on the right bank. Intake size is 16 inches, water is discharged to concrete distribution box and operates for agricultural and fish and wildlife enhancement purposes. Diverts up to 10 cfs. installed fall 2002, isi, russ berry, cylindrical tee, retractable, one-36"" diameter x 48"" long screens, 1.75mm sst wedge wire, 0.33 fps, installed sept. 2002, part of family water alliance screen program, cost $91k "
3940,Butte Creek,Sacramento River,Field And Tule Club vertical pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9238196,39.27794422,38562,"CDFW 1998 survey: 1 vertical pump with horsepower of 15 located on the left bank. Intake size is 13 inches, water is discharged to field and operates for agricultural and fish and wildlife enhancement purposes. pump located in a collection well "
3941,Butte Creek,Sacramento River,"North Butte Country Club, Inc. vertical pump",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9274696,39.27405537,36545,"CDFW 1998 survey: 1 vertical pump located on the left bank. Intake size is 12 inches, water is discharged to pond and operates for agricultural and fish and wildlife enhancement purposes. Diverts up to 4.46 cfs. No motor/electrical, abandoned; 2000 gpm."
3939,Butte Creek,Sacramento River,Rancho Caleta #3 vertical pump,Diversion (screened/unscreened),Screened,Field Survey,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.9359587,39.21516788,9854,"Screened for 15.5 cfs. CDFW 1998 survey: 1 vertical pump with horsepower of 30 located on the right bank. Intake size is 16 inches, water is discharged to earth ditch and operates for agricultural purposes. Diverts up to 15 cfs. Retractable cylindrical screen replaced in 2004 with ISI 35-8 3/32"" perforated metal conical screen under monitor system adjustment phase of CALFED grant due to silt issues."
27955,Sacramento River,Suisun Bay,pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sacramento,Lower Sacramento,-121.51279,38.5512948,283009,CDFW 2005 survey: 1 pump located on the left bank. Intake size is 12 inches and operates for agricultural purposes.
27956,Sacramento River,Suisun Bay,pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sacramento,Lower Sacramento,-121.5564075,38.49435171,252193,"CDFW 2005 survey: 1 pump located on the left bank. Intake size is 8 inches, water is discharged to underground and operates for agricultural purposes."
27953,Sacramento River,Suisun Bay,pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sacramento,Lower Sacramento,-121.5138651,38.57212765,292234,CDFW 2005 survey: 1 pump located on the left bank. Not in use; possibly abandoned.
27954,Sacramento River,Suisun Bay,vertical pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Yolo,Lower Sacramento,-121.521297,38.56712779,289292,"CDFW 2005 survey: 4 vertical pump located on the right bank. Not in use, no motors attached, pipes remain"
3984,Butte Creek,Sacramento River,Rd 1004 (abandoned),Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9340383,39.19544624,1187,"CDFW 1998 survey: 1 unknown diversion located on the left bank. Intake size is 13 inches, water is discharged to concrete box/metal flume and operates for agricultural purposes. next to 2842; site is overgrown, no pumps present. "
3983,Butte Creek,Sacramento River,Butte Slough Irrigation Co. unknown,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Butte Creek,-121.9340616,39.195724,1183,"CDFW 1998 survey: 1 unknown diversion located on the left bank. Intake size is 13 inches, water is discharged to concrete box/metal flume and operates for agricultural purposes. Diverts up to 55 cfs. next to 2843; no pumps present, site is overgrown with brush "
27951,Sacramento River,Suisun Bay,pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sacramento,Upper Coon-Upper Auburn,-121.5577731,38.6085159,319846,CDFW 2005 survey: 1 pump located on the left bank. Intake size is 2 inches and operates for agricultural purposes.
27952,Sacramento River,Suisun Bay,centrifugal pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sacramento,Upper Coon-Upper Auburn,-121.6336442,38.69129251,364257,CDFW 2005 survey: 1 centrifugal pump with horsepower of.5 located on the left bank. Intake size is 2 inches and operates for domestic purposes.
27950,Sacramento River,Suisun Bay,pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sacramento,Upper Coon-Upper Auburn,-121.5502346,38.60073825,316033,CDFW 2005 survey: 1 pump located on the left bank. Intake size is 14 inches and operates for agricultural purposes. no motor attached; oct 2005 resurvey 
4057,Sanborn Slough,Butte Creek,Screwgate,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.884704,39.326832,13258,
4058,Sanborn Slough,Butte Creek,FLASHBOARD RISER,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.88975,39.331554,10860,
4055,Sanborn Slough,Butte Creek,Screwgate,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.889681,39.330999,11086,
4056,Sanborn Slough,Butte Creek,Screwgate,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.887096,39.327943,12463,
4061,Butte Slough,Sutter Bypass,"MATSUMURA, INC.",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Honcut Headwaters-Lower Feather,-121.908482,39.184613,38244,
4062,Butte Slough,Sutter Bypass,Vertical Pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Honcut Headwaters-Lower Feather,-121.907567,39.176835,35392,
4059,Butte Slough,Sutter Bypass,Centrifugal Pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Honcut Headwaters-Lower Feather,-121.898879,39.167669,30996,
4060,Butte Slough,Sutter Bypass,Louis Tarke,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Honcut Headwaters-Lower Feather,-121.923823,39.19989,46006,
4049,Sanborn Slough,Butte Creek,Vertical Pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.891376,39.351832,2865,
4050,Sanborn Slough,Butte Creek,Slant Pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.893053,39.34822,4269,
4046,Mallard Canal,Butte Creek,Five Points Diversion,Diversion (screened/unscreened),Screened,Professional Judgement,California Department of Fish and Wildlife,Colusa,Butte Creek,-121.9226505,39.30156904,0,"Surveyed by CDFW FSFPP on 10/2/1998 and listed as a dam. This was screened in 2006; funded by CDFW ERP and USFWS, and implemented by Ducks Unlimited. Per ERP, part of this project included the consolidation of the Avis Channel Diversion to 5-Points."
4048,Sanborn Slough,Butte Creek,Vertical Pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.89141,39.351832,2865,
4051,Sanborn Slough,Butte Creek,Screwgate,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.8924,39.340443,7339,
4052,Sanborn Slough,Butte Creek,Slidegate,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.891995,39.33711,8686,
4090,West Barrow,Sacramento Slough,Screwgate,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Sacramento-Stone Corral,-121.743152,39.033226,0,
4091,East Barrow,Nelson Slough,Akin Ranch,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Honcut Headwaters-Lower Feather,-121.692236,38.979061,0,MOTOR REMOVED FOR SEASON
4088,West Barrow,Sacramento Slough,Frank Guisti,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Sacramento-Stone Corral,-121.765551,39.086837,0,
4095,Wadsworth Canal,East Barrow,Vertical Pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Honcut Headwaters-Lower Feather,-121.755592,39.127669,0,
4092,East Barrow,Nelson Slough,Akin Ranch,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Honcut Headwaters-Lower Feather,-121.695243,38.981005,0,
4093,East Barrow,Nelson Slough,Vertical Pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Sutter,Honcut Headwaters-Lower Feather,-121.711867,38.991561,0,MOTOR REMOVED FOR SEASON
